,prompt,label,word_count
328,season,0,1
329,hey kölle du bes e jeföhl version 2005,0,8
330,believer,0,1
331,baby love,0,2
332,homesick,0,1
333,feeding seahorses hand,0,3
334,idhayathai yedho ondru,0,3
335,entrudo,0,1
336,keep,0,1
337,bad 25th anniversary,0,3
338,watershed,0,1
339,prayer,0,1
340,frozen planet ii,0,3
341,im breathing,0,2
342,reason,0,1
343,start,0,1
344,我就想你,0,1
345,ojo de la tormenta remasterizado 2007,0,6
346,living hope,0,2
347,megaton,0,1
348,white noise babies,0,3
349,indian summer,0,2
350,open eyes,0,2
351,lost vip,0,2
352,akuma ko,0,2
353,galy galiano 30 años,0,4
354,futuro é vortex,0,3
355,broken boy soldiers,0,3
356,daydream,0,1
357,lion,0,1
358,bleed american,0,2
359,life pazham,0,2
360,kiss rain,0,2
361,two windows,0,2
362,acústico na casa lago,0,4
363,você pergunta,0,2
364,vestido de seda,0,3
365,odeon yılları,0,2
366,let slowly x aaya na tu,0,6
367,cocota feia pra caralho,0,4
368,ankara rain skies,0,3
369,hold colour,0,2
370,nobodys listening,0,2
371,hato rey,0,2
372,contemplation,0,1
373,reise reise,0,2
374,meri baaton mein tu,0,4
375,wanna play 270 bpm terror edit,0,6
376,aashiqui,0,1
377,esencial miguel bose,0,3
378,tätowierer,0,1
379,ishaqzaade,0,1
380,sunlight,0,1
381,easy eyes,0,2
382,amanda,0,1
383,dance devil,0,2
384,coletânea start rap,0,3
385,emociones,0,1
386,predator,0,1
387,rio,0,1
388,tampão carro,0,2
389,atonement,0,1
390,bom demais para não crer,0,5
391,du willst mir die wäsche live berlin,0,7
392,chellakuttiye,0,1
393,shell coming round mountain,0,4
394,мам я умираю,0,3
395,viking,0,1
396,life without heartbreak,0,3
397,extreme,0,1
398,cœur de loup,0,3
399,duniya,0,1
400,muero por estar contigo,0,4
401,firest,0,1
402,language intuition,0,2
403,good times,0,2
404,wild,0,1
405,club zero cool vol 3,0,5
406,maryan,0,1
407,paint love,0,2
408,pardon,0,1
409,la femme dargent,0,3
410,fala mal de mim,0,4
411,manifesto musical,0,2
412,cherry bomb,0,2
413,si usted la viera,0,4
414,betrayed,0,1
415,gravity,0,1
416,genesis 11,0,2
417,exercises futility,0,2
418,underbart,0,1
419,rata blanca,0,2
420,life,0,1
421,whyd call youre high,0,4
422,first album,0,2
423,chorando e cantando ao vivo,0,5
424,hold closer,0,2
425,ao vivo coração brasil,0,4
426,culpa é coração ao vivo,0,5
427,know,0,1
428,frozen planet ii,0,3
429,ved,0,1
430,finally,0,1
431,world psychedelic classics 5 william onyeabor,0,6
432,la farsante,0,2
433,bittersweet,0,1
434,tvアニメ「hunterxhunter」 キャラクターソング集 天空闘技場編,0,3
435,wir sehn uns wieder,0,4
436,saath saath,0,2
437,muévelo,0,1
438,kaanunna kalyanam,0,2
439,mattei peter great baritone arias,0,5
440,impossível te esquecer ao vivo,0,5
441,sou eu minha estrela perdida,0,5
442,strait heart,0,2
443,djavan ao vivo,0,3
444,metallica,0,1
445,till hurts,0,2
446,release,0,1
447,colour,0,1
448,come eileen single edit,0,4
449,rap é compromisso,0,3
450,senaathipathi nene sardar,0,3
451,inhale,0,1
452,million years ago,0,3
453,4 nothing,0,2
454,waves calm,0,2
455,celtic dream,0,2
456,ask kelly clarkson,0,3
457,space diver,0,2
458,na gravidade da presença,0,4
459,shes thunderstorms,0,2
460,燦々デイズ,0,1
461,amo,0,1
462,som de peão,0,3
463,indicate,0,1
464,una glock,0,2
465,dream life away,0,3
466,victimas del vaciamiento,0,3
467,agnus dei,0,2
468,incendeia,0,1
469,asmr rain window,0,3
470,love story tim deluxe radio mix,0,6
471,sir charles jones friends,0,4
472,só mais uma vez ao vivo,0,6
473,怎麼了,0,1
474,813,0,1
475,kungarna från broadway,0,3
476,sunbather,0,1
477,los exitos de oro de los crazy boys,0,8
478,bernadette,0,1
479,bathing beach,0,2
480,turn da beat,0,3
481,saufn ravn,0,2
482,7,0,1
483,un beso de improviso,0,4
484,waltz goes,0,2
485,rescue,0,1
486,randall flagg,0,2
487,bansuri,0,1
488,could would,0,2
489,流れ弾,0,1
490,fierce live,0,2
491,hanabi,0,1
492,survival fattest,0,2
493,tomorrow,0,1
494,stay radio edit,0,3
495,känn ingen sorg för mig göteborg,0,6
496,brown noise sleep,0,3
497,sou interior,0,2
498,billa 2,0,2
499,dreams weave,0,2
500,call name,0,2
501,特倫斯夢遊仙境,0,1
502,sparkagain,0,1
503,nights white satin,0,3
504,invisible forces,0,2
505,mutasir,0,1
506,〜アスタリスク〜,0,1
507,erase,0,1
508,seiva,0,1
509,best urdu qawwalies,0,3
510,minnalgal koothadum,0,2
511,springfield,0,1
512,never forever,0,2
513,wrong roots,0,2
514,寂寞的星期五,0,1
515,small world,0,2
516,muddhu muddhu vaana,0,3
517,boy bubble,0,2
518,indigo plateau,0,2
519,20 mais,0,2
520,você vira cabeça ao vivo,0,5
521,shake shake rattle rock n roll,0,6
522,gusta,0,1
523,lover pleasethe complete mgm mercury singles,0,6
524,cennetten cehenneme,0,2
525,break rules,0,2
526,abre alas,0,2
527,ao vivo em salvador vol 1,0,6
528,ln granada,0,2
529,walkyria santos única 2 minha história,0,6
530,bu değildi,0,2
531,killin planet,0,2
532,de volta aos bares,0,4
533,shinjitsu eno shingeki,0,3
534,deixa eu te usar ao vivo,0,6
535,el reloj cucú,0,3
536,時光倒流二十年,0,1
537,means necessary,0,2
538,underbart,0,1
539,ponni nadhi tamil,0,3
540,torus,0,1
541,você sabe que eu quero dizer,0,6
542,undo heart,0,2
543,pluma black,0,2
544,love acid,0,2
545,unto locust,0,2
546,ay pilla telugu,0,3
547,lets talk,0,2
548,whiskey jar,0,2
549,nos braços povo,0,3
550,além que se vê ao vivo,0,6
551,las horas,0,2
552,sol original motion picture soundtrack,0,5
553,vamo cantar,0,2
554,breathingexercise,0,1
555,nct 2018 empathy,0,3
556,death magnetic,0,2
557,children dream version,0,3
558,chinna thamarai,0,2
559,granit och morän,0,3
560,musettas waltz,0,2
561,flying octopus,0,2
562,30 jahre michelle das wars… noch nicht,0,7
563,sadness feels like,0,3
564,si estuvieras aquí,0,3
565,sarkar,0,1
566,tô indo embora,0,3
567,woh kaun thi,0,3
568,hypedecipher,0,1
569,stingray,0,1
570,guyver,0,1
571,hope ages live,0,3
572,saguni,0,1
573,antonia,0,1
574,man sold world 2010 remaster,0,5
575,pra todo mundo ver,0,4
576,solo,0,1
577,sem você não dá vol 01,0,6
578,best songs kids vol 1,0,5
579,joes garage acts ii iii,0,5
580,paradise,0,1
581,climatizar,0,1
582,creature 3d,0,2
583,hate waking,0,2
584,沙發海,0,1
585,sad bitch bad bitch,0,4
586,tu és centro,0,3
587,samsons wine,0,2
588,chciałem być,0,2
589,agora estou sofrendo,0,3
590,berserker,0,1
591,juana,0,1
592,e più ti penso upon time america,0,7
593,共犯者 remastered 2022,0,3
594,filho deus vivo ao vivo,0,5
595,smalltown boy,0,2
596,el gran desfile,0,3
597,dil maang raha hai,0,4
598,música popular caiçara edição luxo,0,5
599,vibes,0,1
600,vida,0,1
601,bocat,0,1
602,day breaks,0,2
603,roberto carlos,0,2
604,colgado,0,1
605,zona rural,0,2
606,divide collide,0,2
607,sankatmochan hanuman ashtak,0,3
608,el cocodrilo,0,2
609,enter sandman,0,2
610,boston city hall,0,3
611,touch heaven bonus,0,3
612,キセキ,0,1
613,transfer,0,1
614,deewana,0,1
615,ahmak islatan 2017 edit,0,4
616,boom,0,1
617,love law,0,2
618,seventeen 4th album repackage sector 17,0,6
619,found,0,1
620,uncle remus,0,2
621,i̇stasyon i̇nsanları,0,2
622,rings roses,0,2
623,kill,0,1
624,filho mato,0,2
625,un adiós 2014 remaster,0,4
626,breath,0,1
627,super trouper,0,2
628,tees maar khan,0,3
629,loco vintage rock en español,0,5
630,daddy cool,0,2
631,fellow creatures,0,2
632,bazaar,0,1
633,maloca flagrante,0,2
634,coka 20,0,2
635,nuestro gran amor,0,3
636,baby vira bêbo,0,3
637,idiot,0,1
638,get low,0,2
639,nine,0,1
640,zenzenzense english version,0,3
641,weißes rauschen aufwachen total entspannt,0,5
642,heart,0,1
643,shook ones pt ii,0,4
644,pa pa pa magic flute soundtrack,0,6
645,temazos de coleccion,0,3
646,fall apart,0,2
647,somewhere,0,1
648,aftermath,0,1
649,panda mtv unplugged,0,3
650,maxident,0,1
651,get,0,1
652,life goes,0,2
653,zezé di camargo luciano 1992,0,5
654,baby sleep ocean sounds,0,4
655,tranquility base hotel casino,0,4
656,tvアニメ『呪術廻戦』オリジナル・サウンドトラック,0,1
657,skidamarink,0,1
658,far good,0,2
659,anxious mind,0,2
660,light blinds us,0,3
661,infinite dream,0,2
662,eno ide,0,2
663,que é amor,0,3
664,eu e você,0,3
665,set fire rain,0,3
666,long way home,0,3
667,elvis memphis,0,2
668,言ノ葉,0,1
669,tell im waiting,0,3
670,want hide face die,0,4
671,paathi nee allathe,0,3
672,drifting towards horizon,0,3
673,valley damned,0,2
674,way fist,0,2
675,eylül,0,1
676,quiet dance,0,2
677,eu que tenho manhas,0,4
678,shiv upasana,0,2
679,nosso lance,0,2
680,infinite granite,0,2
681,luna llena,0,2
682,lavender,0,1
683,wozwald,0,1
684,ao vivo em goiânia vol 04,0,6
685,cada beijo,0,2
686,nossa barraca,0,2
687,piano music motion picture,0,4
688,feriğim,0,1
689,abre essas pernas pra mim,0,5
690,buffalo springfield,0,2
691,funk brasil bem funk,0,4
692,enoc,0,1
693,loser,0,1
694,fathers house studio,0,3
695,new bad habit,0,3
696,side,0,1
697,bela e fera,0,3
698,oktoberfest – wiesn party mit dj ötzi,0,7
699,el matador versión remasterizada,0,4
700,cuenta conmigo,0,2
701,supa dupa fly,0,3
702,apology,0,1
703,cant buy love remastered 2009,0,5
704,tere hawaale,0,2
705,life,0,1
706,bunny girl,0,2
707,invincible,0,1
708,只愛陌生人,0,1
709,rasta chinela 20,0,3
710,saudade safada,0,2
711,voyd vol 15,0,3
712,eyes,0,1
713,evol,0,1
714,october,0,1
715,nindiya,0,1
716,pink season prophecy,0,3
717,命硬,0,1
718,american woman,0,2
719,wadodem,0,1
720,one dies love,0,3
721,aok,0,1
722,eduardo costa acústico,0,3
723,honest,0,1
724,el inigualable,0,2
725,defying gravity wicked original broadway cast recording2003,0,7
726,apaixonado e meio ao vivo,0,5
727,interstellar,0,1
728,get lonely,0,2
729,avslappnande musik sova musik för begrundan sömnproblem avslappning positivt tänkande,0,10
730,lo mejor de ti,0,4
731,grow old,0,2
732,nagavalli reprise version,0,3
733,labyrinth,0,1
734,special,0,1
735,chori chori,0,2
736,sexta feira rotineira,0,3
737,youre beautiful,0,2
738,energia surreal acústica,0,3
739,moyseis marques,0,2
740,cannot bothered,0,2
741,queen ice,0,2
742,sri venkateshwara suprabhatham,0,3
743,six musical,0,2
744,não vá ainda,0,3
745,voy,0,1
746,better,0,1
747,fiz esse som pra você acústica,0,6
748,jogi,0,1
749,reflections,0,1
750,kani remixes,0,2
751,genesis 11,0,2
752,human fly,0,2
753,humble,0,1
754,little bit remix,0,3
755,pehli dafa,0,2
756,high way,0,2
757,greatest hits,0,2
758,kaise kahu flipped version,0,4
759,cyberpunk 2077 radio vol 2,0,5
760,ek toh kum zindagani,0,4
761,wrong place,0,2
762,world painted blood,0,3
763,skins,0,1
764,running family,0,2
765,el emperadorcito,0,2
766,la españolita,0,2
767,blah blah blah,0,3
768,天地ガエシ,0,1
769,kings disease,0,2
770,white,0,1
771,bad vibes forever,0,3
772,los de atrás vienen conmigo,0,5
773,se joga na minha vida ao vivo,0,7
774,sábado noite,0,2
775,friend like,0,2
776,rewritten memories,0,2
777,karambol,0,1
778,sandstorm,0,1
779,encontrin 2 parte 1,0,4
780,certas coisas,0,2
781,neon grave,0,2
782,vai dar tudo certo,0,4
783,took pill ibiza seeb remix,0,5
784,mother goose club sings nursery rhymes vol 4 row row row rhyme,0,12
785,e é uma banda é,0,5
786,hard times bad trips,0,4
787,adoração,0,1
788,girls,0,1
789,wow,0,1
790,ven hacer el amor conmigo,0,5
791,warrior extended version,0,3
792,fylla på fjället,0,3
793,tyler,0,1
794,project dreams,0,2
795,go fall love,0,3
796,dream awake,0,2
797,inolvidable,0,1
798,come home,0,2
799,stuff,0,1
800,job anymore,0,2
801,car,0,1
802,loud,0,1
803,live life,0,2
804,illumination peaceful gregorian chants,0,4
805,kaagaz ki naav,0,3
806,dromen,0,1
807,incy wincy spider,0,3
808,manike mage hithe,0,3
809,teorema,0,1
810,la murga de los renegados,0,5
811,drives east,0,2
812,som bbq,0,2
813,santidade,0,1
814,maniacal laughter,0,2
815,castle,0,1
816,eight days week remastered 2009,0,5
817,rain relaxation,0,2
818,cien inviernos,0,2
819,flor de caña,0,3
820,calling peace,0,2
821,canção pra deus,0,3
822,odyssée ep,0,2
823,achyutam keshavam alka yagnik,0,4
824,kick inside,0,2
825,tashan,0,1
826,licht und schatten,0,3
827,great ballerina,0,2
828,hunting high low,0,3
829,natty rebel,0,2
830,hunks wood,0,2
831,efeito dominó,0,2
832,amorperfeito,0,1
833,good,0,1
834,eu tô com puta,0,4
835,eclosion,0,1
836,laal singh chaddha,0,3
837,child desert,0,2
838,feel alive,0,2
839,alas canciones,0,2
840,class madame gazelle,0,3
841,quarta cadeira acústico,0,3
842,thalli pogathey,0,2
843,serigala militia,0,2
844,desde mexico cumbia cusinela,0,4
845,lsd,0,1
846,abc song,0,2
847,sirenas,0,1
848,真っ白なものは汚したくなる,0,1
849,saari raat ni sona lofi,0,5
850,time bomb,0,2
851,na vlastní kůži,0,3
852,seek advice elsewhere,0,3
853,ifs,0,1
854,ннд,0,1
855,leave door open,0,3
856,supernatural,0,1
857,hello,0,1
858,contramão,0,1
859,descocada,0,1
860,summer overture,0,2
861,pretty good year,0,3
862,feel close radio edit,0,4
863,hell earth,0,2
864,sigh,0,1
865,halcyon,0,1
866,baatein kuch ankahee,0,3
867,rise sun,0,2
868,amstramgram,0,1
869,wildcard,0,1
870,double take,0,2
871,dois rivais,0,2
872,le tour de,0,3
873,end far,0,2
874,cavalcade,0,1
875,look eyes syn cole remix,0,5
876,recreant,0,1
877,cold outside,0,2
878,那些你很冒險的夢,0,1
879,僕は君の答えになりたいな,0,1
880,untrue,0,1
881,believer,0,1
882,summer,0,1
883,feels like home,0,3
884,amsterdam trap music vol 3,0,5
885,devatha,0,1
886,dont get job,0,3
887,dream calm,0,2
888,life balloon,0,2
889,düm tek tek,0,3
890,pareja del año,0,3
891,boy luv,0,2
892,walking clouds,0,2
893,aqualung,0,1
894,rise,0,1
895,baat bangayi,0,2
896,song,0,1
897,spectrum,0,1
898,favorite things,0,2
899,fine lines,0,2
900,phobia,0,1
901,fragments,0,1
902,panchrang,0,1
903,hearts content,0,2
904,galti se mistake,0,3
905,hingo,0,1
906,aint nobody,0,2
907,la gran coleccion del 60 aniversario cbs gualberto castro,0,9
908,sunny album,0,2
909,total eclipse heart,0,3
910,everything remains,0,2
911,hear knocking,0,2
912,enakenna yaarum illaye,0,3
913,studio bar,0,2
914,nuclear,0,1
915,songs story pocahontas,0,3
916,deep blue nurko remix,0,4
917,mama laudaaa,0,2
918,chill,0,1
919,söyleme,0,1
920,davam,0,1
921,im delighted,0,2
922,waves sleeping waves,0,3
923,homenaje,0,1
924,marc anthony,0,2
925,surprise im surprised today,0,4
926,time,0,1
927,surface,0,1
928,arktis,0,1
929,eason chan duo concert 2010,0,5
930,silver scream,0,2
931,amantes amentes,0,2
932,tum mile lofi flip,0,4
933,satanist,0,1
934,heaven knows,0,2
935,olivia,0,1
936,orpheus,0,1
937,紅顏如霜,0,1
938,clare,0,1
939,yaarum illa,0,2
940,around world remastered,0,3
941,進階,0,1
942,vagabundo também ama,0,3
943,woman,0,1
944,bone,0,1
945,coleccion original,0,2
946,sextafeira,0,1
947,blue aint color,0,3
948,vikings,0,1
949,hope hurts,0,2
950,devi drone,0,2
951,one last time,0,3
952,kids,0,1
953,sky blue,0,2
954,sì,0,1
955,across line,0,2
956,escape,0,1
957,proof,0,1
958,razors edge,0,2
959,cruz e paraíso,0,3
960,imagine,0,1
961,emigrante del mundo,0,3
962,deus impossível,0,2
963,catch,0,1
964,insides,0,1
965,fracasso,0,1
966,wee willie winkie,0,3
967,come get higher,0,3
968,bagatelle 25 minor woo 59 für elise,0,7
969,la forma más pura,0,4
970,bıraktım şaşırmayı,0,2
971,tree life,0,2
972,sexy bitch,0,2
973,epiphany best chaka khan vol 1,0,6
974,banco de areia,0,3
975,hey ram hey ram shree ram dhun,0,7
976,mtv unplugged new york,0,4
977,shiva feat golden army,0,4
978,without,0,1
979,falls,0,1
980,amiga talarica,0,2
981,wings,0,1
982,nit nit,0,2
983,campfire headphase,0,2
984,jo jeeta wohi sikandar,0,4
985,chaos,0,1
986,aint got,0,2
987,lies,0,1
988,one loved,0,2
989,mercedes,0,1
990,adore christmas songs worship,0,4
991,nemesis,0,1
992,blame night,0,2
993,paranoia,0,1
994,lalalove,0,1
995,dover beach,0,2
996,dont come home today,0,4
997,aurora,0,1
998,johny johny yes papa,0,4
999,dark knight,0,2
1000,buy dirt,0,2
1001,phir kabhi,0,2
1002,forró popular brasileiro,0,3
1003,uma só vida pra viver tenho sede nela eu vou,0,10
1004,old heart falls,0,3
1005,洋蔥,0,1
1006,versvs christvs,0,2
1007,kolaveri di soup love,0,4
1008,waves sleeping mother,0,3
1009,las 100 clásicas de cri cri vol 1,0,8
1010,greater,0,1
1011,six musical,0,2
1012,força nosso som,0,3
1013,p,0,1
1014,jag går nu,0,3
1015,es lo que parece,0,4
1016,good 4 u,0,3
1017,goosebumps remix,0,2
1018,musikişinas tüccarlarımız,0,2
1019,third eye blind,0,3
1020,ganadara,0,1
1021,rapunzel,0,1
1022,save,0,1
1023,whats wrong,0,2
1024,明日天気になれ,0,1
1025,kids seeb remix,0,3
1026,たぶん,0,1
1027,burnout syndromez,0,2
1028,euphoria,0,1
1029,abrazar la niebla,0,3
1030,bocas ordinárias,0,2
1031,moonlight shade,0,2
1032,resenha mumu,0,2
1033,white noise traffic sounds,0,4
1034,buses,0,1
1035,high beat,0,2
1036,big fun,0,2
1037,necesito dueña,0,2
1038,quarcissus el arte de desamar,0,5
1039,ant farm,0,2
1040,canavar,0,1
1041,21,0,1
1042,twentytwenty,0,1
1043,10 de colección,0,3
1044,santo espírito ao vivo,0,4
1045,see stars,0,2
1046,blue bird lofi,0,3
1047,captivated,0,1
1048,8 letters,0,2
1049,アジアの純真,0,1
1050,primal energy,0,2
1051,soothing sundry brown noise brown waves tones ambiences,0,8
1052,city gods,0,2
1053,lune,0,1
1054,italian,0,1
1055,wanted,0,1
1056,purple widow,0,2
1057,dance little liar,0,3
1058,tears back,0,2
1059,sleep anime lofi beats,0,4
1060,verão 2018,0,2
1061,emocionada,0,1
1062,ショッピング,0,1
1063,baby alexander,0,2
1064,amor boteco,0,2
1065,problema emocional volta de vez pra mim pra ser minha musa,0,11
1066,rocky mountain high,0,3
1067,relics,0,1
1068,fast land,0,2
1069,jhonka,0,1
1070,pé na areia numa boa,0,5
1071,en busca del amor,0,4
1072,triple,0,1
1073,fallboard,0,1
1074,memórias,0,1
1075,instinto,0,1
1076,saudade de mim,0,3
1077,still love,0,2
1078,lot livin,0,2
1079,master puppets,0,2
1080,maneki neko,0,2
1081,deixa eu te amar,0,4
1082,covers vol 1,0,3
1083,gold,0,1
1084,samson,0,1
1085,dil pagal hai,0,3
1086,ennodulla nin sarva,0,3
1087,stevens last night town,0,4
1088,america,0,1
1089,lova,0,1
1090,lost,0,1
1091,caninana entre amigos vol 2,0,5
